Repeat,#Households,Result,Demand Profile,FW-DDSM-CP,,,FW-DDSM-OGSA,,
0,6000,DR,Optimised,12%,12%,12%,15%,15%,15%
0,6000,CR,Optimised,9%,9%,9%,9%,9%,9%
0,6000,PAR,Actual,1.05,1.06,1.07,1.04,1.06,1.07
0,6000,PAR-D,Actual,0,0.01,0.01,0.01,0.03,0.04
0,6000,DR,Actual,12%,13%,14%,12%,13%,14%
0,6000,DR-D,Actual,0%,1%,2%,1%,2%,3%
0,6000,CR,Actual,9%,9%,9%,9%,9%,9%
0,6000,CR-D,Actual,0%,0%,0%,0%,0%,0%
0,8000,PAR,Preferred,1.21,1.21,1.21,1.21,1.21,1.21
0,8000,DR,Preferred,0%,0%,0%,0%,0%,0%
0,8000,CR,Preferred,0%,0%,0%,0%,0%,0%
0,8000,PAR,Optimised,1.08,1.08,1.08,1.09,1.09,1.09
0,8000,DR,Optimised,10%,10%,10%,10%,10%,10%
0,8000,CR,Optimised,9%,9%,9%,9%,9%,9%
0,8000,PAR,Actual,1.07,1.09,1.11,1.07,1.08,1.09
0,8000,PAR-D,Actual,0.01,0.01,0.03,0,0.01,0.02
0,8000,DR,Actual,8%,10%,11%,10%,11%,11%
0,8000,DR-D,Actual,0%,1%,2%,0%,1%,1%
0,8000,CR,Actual,9%,9%,9%,9%,9%,9%
0,8000,CR-D,Actual,0%,0%,0%,0%,0%,0%
0,10000,PAR,Preferred,1.16,1.16,1.16,1.16,1.16,1.16
0,10000,DR,Preferred,0%,0%,0%,0%,0%,0%
0,10000,CR,Preferred,0%,0%,0%,0%,0%,0%
0,10000,PAR,Optimised,1.04,1.04,1.04,1.04,1.04,1.04
0,10000,DR,Optimised,10%,10%,10%,11%,11%,11%
0,10000,CR,Optimised,13%,13%,13%,13%,13%,13%
0,10000,PAR,Actual,1.03,1.05,1.06,1.04,1.04,1.1
0,10000,PAR-D,Actual,0,0.01,0.02,0,0,0.06
0,10000,DR,Actual,9%,10%,11%,6%,10%,11%
0,10000,DR-D,Actual,0%,1%,1%,0%,1%,5%
0,10000,CR,Actual,13%,13%,13%,12%,13%,13%
0,10000,CR-D,Actual,0%,0%,0%,0%,0%,1%
1,50,PAR,Preferred,2.5,2.5,2.5,2.5,2.5,2.5
1,50,DR,Preferred,0,0,0,0,0,0
1,50,CR,Preferred,0,0,0,0,0,0
1,50,PAR,Optimised,1.29,1.29,1.29,1.29,1.29,1.29
1,50,DR,Optimised,0.48,0.48,0.48,0.48,0.48,0.48
1,50,CR,Optimised,0.09,0.09,0.09,0.09,0.09,0.09
1,50,PAR,Actual,1.9,2.09,2.61,1.72,2.04,2.12
1,50,PAR-D,Actual,0.61,0.8,1.32,0.43,0.75,0.83
1,50,DR,Actual,-0.05,0.16,0.24,0.15,0.18,0.31
1,50,DR-D,Actual,0.24,0.32,0.53,0.17,0.3,0.33
1,50,CR,Actual,-0.34,0.07,0.08,0.08,0.08,0.08
1,50,CR-D,Actual,0.01,0.02,0.43,0.01,0.01,0.01
1,100,PAR,Preferred,1.67,1.67,1.67,1.67,1.67,1.67
1,100,DR,Preferred,0,0,0,0,0,0
1,100,CR,Preferred,0,0,0,0,0,0
1,100,PAR,Optimised,1.05,1.05,1.05,1.05,1.05,1.05
1,100,DR,Optimised,0.37,0.37,0.37,0.37,0.37,0.37
1,100,CR,Optimised,0.11,0.11,0.11,0.11,0.11,0.11
1,100,PAR,Actual,1.53,1.61,1.84,1.46,1.54,1.73
1,100,PAR-D,Actual,0.48,0.56,0.79,0.41,0.49,0.68
1,100,DR,Actual,-0.1,0.04,0.08,-0.04,0.08,0.12
1,100,DR-D,Actual,0.29,0.33,0.47,0.25,0.29,0.41
1,100,CR,Actual,-0.46,0.07,0.08,-0.25,0.09,0.09
1,100,CR-D,Actual,0.03,0.04,0.57,0.02,0.02,0.36
1,500,PAR,Preferred,1.29,1.29,1.29,1.29,1.29,1.29
1,500,DR,Preferred,0,0,0,0,0,0
1,500,CR,Preferred,0,0,0,0,0,0
1,500,PAR,Optimised,1.09,1.09,1.09,1.09,1.09,1.09
1,500,DR,Optimised,0.16,0.16,0.16,0.15,0.15,0.15
1,500,CR,Optimised,0.08,0.08,0.08,0.08,0.08,0.08
1,500,PAR,Actual,1.14,1.2,1.34,1.14,1.24,1.3
1,500,PAR-D,Actual,0.05,0.11,0.25,0.05,0.15,0.21
1,500,DR,Actual,-0.03,0.07,0.12,-0.01,0.04,0.12
1,500,DR-D,Actual,0.04,0.09,0.19,0.03,0.11,0.16
1,500,CR,Actual,-0.12,0.06,0.06,-0.01,0.05,0.06
1,500,CR-D,Actual,0.02,0.02,0.2,0.02,0.03,0.09
1,1000,PAR,Preferred,1.41,1.41,1.41,1.41,1.41,1.41
1,1000,DR,Preferred,0,0,0,0,0,0
1,1000,CR,Preferred,0,0,0,0,0,0
1,1000,PAR,Optimised,1.07,1.07,1.07,1.08,1.08,1.08
1,1000,DR,Optimised,0.24,0.24,0.24,0.23,0.23,0.23
1,1000,CR,Optimised,0.06,0.06,0.06,0.06,0.06,0.06
1,1000,PAR,Actual,1.14,1.2,1.27,1.1,1.13,1.2
1,1000,PAR-D,Actual,0.07,0.13,0.2,0.02,0.05,0.12
1,1000,DR,Actual,0.1,0.15,0.19,0.15,0.2,0.22
1,1000,DR-D,Actual,0.05,0.09,0.14,0.01,0.03,0.08
1,1000,CR,Actual,0.05,0.06,0.06,0.05,0.06,0.06
1,1000,CR-D,Actual,0,0,0.01,0,0,0.01
1,2000,PAR,Preferred,1.23,1.23,1.23,1.23,1.23,1.23
1,2000,DR,Preferred,0,0,0,0,0,0
1,2000,CR,Preferred,0,0,0,0,0,0
1,2000,PAR,Optimised,1.06,1.06,1.06,1.06,1.06,1.06
1,2000,DR,Optimised,0.14,0.14,0.14,0.14,0.14,0.14
1,2000,CR,Optimised,0.1,0.1,0.1,0.1,0.1,0.1
1,2000,PAR,Actual,1.08,1.12,1.18,1.07,1.13,1.17
1,2000,PAR-D,Actual,0.02,0.06,0.12,0.01,0.07,0.11
1,2000,DR,Actual,0.04,0.09,0.12,0.05,0.08,0.12
1,2000,DR-D,Actual,0.02,0.05,0.1,0.02,0.06,0.09
1,2000,CR,Actual,0.08,0.09,0.09,0.09,0.09,0.1
1,2000,CR-D,Actual,0.01,0.01,0.02,0,0.01,0.01
1,4000,PAR,Preferred,1.19,1.19,1.19,1.19,1.19,1.19
1,4000,DR,Preferred,0,0,0,0,0,0
1,4000,CR,Preferred,0,0,0,0,0,0
1,4000,PAR,Optimised,1.04,1.04,1.04,1.03,1.03,1.03
1,4000,DR,Optimised,0.13,0.13,0.13,0.14,0.14,0.14
1,4000,CR,Optimised,0.13,0.13,0.13,0.13,0.13,0.13
1,4000,PAR,Actual,1.06,1.08,1.1,1.06,1.08,1.11
1,4000,PAR-D,Actual,0.02,0.04,0.06,0.03,0.05,0.08
1,4000,DR,Actual,0.08,0.09,0.12,0.07,0.1,0.11
1,4000,DR-D,Actual,0.01,0.04,0.05,0.03,0.04,0.07
1,4000,CR,Actual,0.12,0.12,0.13,0.12,0.13,0.13
1,4000,CR-D,Actual,0,0.01,0.01,0,0,0.01
1,6000,PAR,Preferred,1.21,1.21,1.21,1.21,1.21,1.21
1,6000,DR,Preferred,0,0,0,0,0,0
1,6000,CR,Preferred,0,0,0,0,0,0
1,6000,PAR,Optimised,1.05,1.05,1.05,1.03,1.03,1.03
1,6000,DR,Optimised,0.14,0.14,0.14,0.15,0.15,0.15
1,6000,CR,Optimised,0.13,0.13,0.13,0.13,0.13,0.13
1,6000,PAR,Actual,1.05,1.05,1.08,1.06,1.08,1.12
1,6000,PAR-D,Actual,0,0,0.03,0.03,0.05,0.09
1,6000,DR,Actual,0.11,0.13,0.14,0.08,0.11,0.13
1,6000,DR-D,Actual,0,0.01,0.03,0.02,0.04,0.07
1,6000,CR,Actual,0.12,0.12,0.12,0.12,0.12,0.12
1,6000,CR-D,Actual,0.01,0.01,0.01,0.01,0.01,0.01
1,8000,PAR,Preferred,1.15,1.15,1.15,1.15,1.15,1.15
1,8000,DR,Preferred,0,0,0,0,0,0
1,8000,CR,Preferred,0,0,0,0,0,0
1,8000,PAR,Optimised,1.03,1.03,1.03,1.02,1.02,1.02
1,8000,DR,Optimised,0.1,0.1,0.1,0.12,0.12,0.12
1,8000,CR,Optimised,0.15,0.15,0.15,0.15,0.15,0.15
1,8000,PAR,Actual,1.04,1.05,1.06,1.04,1.04,1.09
1,8000,PAR-D,Actual,0.01,0.02,0.03,0.02,0.02,0.07
1,8000,DR,Actual,0.08,0.09,0.1,0.06,0.1,0.1
1,8000,DR-D,Actual,0,0.01,0.02,0.02,0.02,0.06
1,8000,CR,Actual,0.14,0.14,0.15,0.14,0.14,0.14
1,8000,CR-D,Actual,0,0.01,0.01,0.01,0.01,0.01
1,10000,PAR,Preferred,1.17,1.17,1.17,1.17,1.17,1.17
1,10000,DR,Preferred,0,0,0,0,0,0
1,10000,CR,Preferred,0,0,0,0,0,0
1,10000,PAR,Optimised,1.03,1.03,1.03,1.03,1.03,1.03
1,10000,DR,Optimised,0.12,0.12,0.12,0.12,0.12,0.12
1,10000,CR,Optimised,0.13,0.13,0.13,0.13,0.13,0.13
1,10000,PAR,Actual,1.04,1.04,1.06,1.03,1.03,1.04
1,10000,PAR-D,Actual,0.01,0.01,0.03,0,0,0.01
1,10000,DR,Actual,0.1,0.11,0.11,0.11,0.12,0.12
1,10000,DR-D,Actual,0.01,0.01,0.02,0,0,0.01
1,10000,CR,Actual,0.13,0.13,0.13,0.13,0.13,0.13
1,10000,CR-D,Actual,0,0,0,0,0,0
2,50,PAR,Preferred,2.29,2.29,2.29,2.29,2.29,2.29
2,50,DR,Preferred,0,0,0,0,0,0
2,50,CR,Preferred,0,0,0,0,0,0
2,50,PAR,Optimised,1.18,1.18,1.18,1.17,1.17,1.17
2,50,DR,Optimised,0.48,0.48,0.48,0.49,0.49,0.49
2,50,CR,Optimised,0.07,0.07,0.07,0.07,0.07,0.07
2,50,PAR,Actual,1.95,2.14,2.47,1.69,1.93,2.54
2,50,PAR-D,Actual,0.77,0.96,1.29,0.52,0.76,1.37
2,50,DR,Actual,-0.08,0.06,0.15,-0.11,0.16,0.26
2,50,DR-D,Actual,0.33,0.42,0.56,0.23,0.33,0.6
2,50,CR,Actual,-0.56,0.03,0.06,-0.82,0.06,0.07
2,50,CR-D,Actual,0.01,0.04,0.63,0,0.01,0.89
2,100,PAR,Preferred,1.69,1.69,1.69,1.69,1.69,1.69
2,100,DR,Preferred,0,0,0,0,0,0
2,100,CR,Preferred,0,0,0,0,0,0
2,100,PAR,Optimised,1.06,1.06,1.06,1.06,1.06,1.06
2,100,DR,Optimised,0.37,0.37,0.37,0.37,0.37,0.37
2,100,CR,Optimised,0.06,0.06,0.06,0.06,0.06,0.06
2,100,PAR,Actual,1.51,1.66,1.89,1.36,1.58,1.83
2,100,PAR-D,Actual,0.45,0.6,0.83,0.3,0.52,0.77
2,100,DR,Actual,-0.12,0.02,0.11,-0.08,0.06,0.19
2,100,DR-D,Actual,0.26,0.35,0.49,0.18,0.31,0.45
2,100,CR,Actual,-1.25,-0.01,0.04,-0.47,0.03,0.05
2,100,CR-D,Actual,0.02,0.07,1.31,0.01,0.03,0.53
2,500,PAR,Preferred,1.32,1.32,1.32,1.32,1.32,1.32
2,500,DR,Preferred,0,0,0,0,0,0
2,500,CR,Preferred,0,0,0,0,0,0
2,500,PAR,Optimised,1.06,1.06,1.06,1.09,1.09,1.09
2,500,DR,Optimised,0.2,0.2,0.2,0.17,0.17,0.17
2,500,CR,Optimised,0.1,0.1,0.1,0.1,0.1,0.1
2,500,PAR,Actual,1.2,1.28,1.38,1.17,1.24,1.41
2,500,PAR-D,Actual,0.14,0.22,0.32,0.08,0.15,0.32
2,500,DR,Actual,-0.04,0.03,0.09,-0.07,0.06,0.12
2,500,DR-D,Actual,0.11,0.17,0.24,0.05,0.11,0.24
2,500,CR,Actual,-0.13,0.07,0.08,-0.21,0.08,0.09
2,500,CR-D,Actual,0.02,0.03,0.23,0.01,0.02,0.31
2,1000,PAR,Preferred,1.3,1.3,1.3,1.3,1.3,1.3
2,1000,DR,Preferred,0,0,0,0,0,0
2,1000,CR,Preferred,0,0,0,0,0,0
2,1000,PAR,Optimised,1.04,1.04,1.04,1.07,1.07,1.07
2,1000,DR,Optimised,0.2,0.2,0.2,0.18,0.18,0.18
2,1000,CR,Optimised,0.12,0.12,0.12,0.12,0.12,0.12
2,1000,PAR,Actual,1.1,1.2,1.25,1.12,1.16,1.18
2,1000,PAR-D,Actual,0.06,0.16,0.21,0.05,0.09,0.11
2,1000,DR,Actual,0.04,0.08,0.15,0.09,0.1,0.14
2,1000,DR-D,Actual,0.05,0.12,0.16,0.04,0.08,0.09
2,1000,CR,Actual,0.1,0.1,0.11,0.1,0.1,0.11
2,1000,CR-D,Actual,0.01,0.02,0.02,0.01,0.02,0.02
2,2000,PAR,Preferred,1.19,1.19,1.19,1.19,1.19,1.19
2,2000,DR,Preferred,0,0,0,0,0,0
2,2000,CR,Preferred,0,0,0,0,0,0
2,2000,PAR,Optimised,1.03,1.03,1.03,1.02,1.02,1.02
2,2000,DR,Optimised,0.14,0.14,0.14,0.15,0.15,0.15
2,2000,CR,Optimised,0.15,0.15,0.15,0.15,0.15,0.15
2,2000,PAR,Actual,1.07,1.11,1.17,1.07,1.08,1.12
2,2000,PAR-D,Actual,0.04,0.08,0.14,0.05,0.06,0.1
2,2000,DR,Actual,0.02,0.07,0.1,0.06,0.09,0.11
2,2000,DR-D,Actual,0.04,0.07,0.12,0.04,0.06,0.09
2,2000,CR,Actual,0.12,0.14,0.15,0.14,0.14,0.15
2,2000,CR-D,Actual,0,0.01,0.03,0,0.01,0.01
2,4000,PAR,Preferred,1.26,1.26,1.26,1.26,1.26,1.26
2,4000,DR,Preferred,0,0,0,0,0,0
2,4000,CR,Preferred,0,0,0,0,0,0
2,4000,PAR,Optimised,1.05,1.05,1.05,1.03,1.03,1.03
2,4000,DR,Optimised,0.17,0.17,0.17,0.19,0.19,0.19
2,4000,CR,Optimised,0.1,0.1,0.1,0.1,0.1,0.1
2,4000,PAR,Actual,1.07,1.08,1.09,1.06,1.08,1.17
2,4000,PAR-D,Actual,0.02,0.03,0.04,0.03,0.05,0.14
2,4000,DR,Actual,0.13,0.14,0.15,0.08,0.14,0.16
2,4000,DR-D,Actual,0.02,0.03,0.04,0.03,0.05,0.11
2,4000,CR,Actual,0.1,0.1,0.1,0.09,0.1,0.1
2,4000,CR-D,Actual,0,0,0,0,0,0.01
2,6000,PAR,Preferred,1.25,1.25,1.25,1.25,1.25,1.25
2,6000,DR,Preferred,0,0,0,0,0,0
2,6000,CR,Preferred,0,0,0,0,0,0
2,6000,PAR,Optimised,1.1,1.1,1.1,1.07,1.07,1.07
2,6000,DR,Optimised,0.12,0.12,0.12,0.14,0.14,0.14
2,6000,CR,Optimised,0.08,0.08,0.08,0.09,0.09,0.09
2,6000,PAR,Actual,1.09,1.11,1.13,1.06,1.06,1.1
2,6000,PAR-D,Actual,0.01,0.01,0.03,0.01,0.01,0.03
2,6000,DR,Actual,0.1,0.11,0.13,0.12,0.15,0.15
2,6000,DR-D,Actual,0,0.01,0.02,0.01,0.01,0.02
2,6000,CR,Actual,0.08,0.08,0.08,0.08,0.08,0.08
2,6000,CR-D,Actual,0,0,0,0.01,0.01,0.01
2,8000,PAR,Preferred,1.18,1.18,1.18,1.18,1.18,1.18
2,8000,DR,Preferred,0,0,0,0,0,0
2,8000,CR,Preferred,0,0,0,0,0,0
2,8000,PAR,Optimised,1.06,1.06,1.06,1.06,1.06,1.06
2,8000,DR,Optimised,0.11,0.11,0.11,0.11,0.11,0.11
2,8000,CR,Optimised,0.12,0.12,0.12,0.12,0.12,0.12
2,8000,PAR,Actual,1.05,1.06,1.07,1.06,1.07,1.08
2,8000,PAR-D,Actual,0,0.01,0.01,0,0.01,0.02
2,8000,DR,Actual,0.1,0.1,0.11,0.09,0.1,0.1
2,8000,DR-D,Actual,0,0.01,0.01,0.01,0.01,0.02
2,8000,CR,Actual,0.11,0.12,0.12,0.11,0.12,0.12
2,8000,CR-D,Actual,0,0,0.01,0,0,0.01
2,10000,PAR,Preferred,1.2,1.2,1.2,1.2,1.2,1.2
2,10000,DR,Preferred,0,0,0,0,0,0
2,10000,CR,Preferred,0,0,0,0,0,0
2,10000,PAR,Optimised,1.04,1.04,1.04,1.04,1.04,1.04
2,10000,DR,Optimised,0.13,0.13,0.13,0.13,0.13,0.13
2,10000,CR,Optimised,0.12,0.12,0.12,0.12,0.12,0.12
2,10000,PAR,Actual,1.04,1.05,1.05,1.05,1.05,1.05
2,10000,PAR-D,Actual,0,0.01,0.01,0.01,0.01,0.01
2,10000,DR,Actual,0.12,0.12,0.13,0.12,0.12,0.13
2,10000,DR-D,Actual,0,0.01,0.01,0,0.01,0.01
2,10000,CR,Actual,0.12,0.12,0.12,0.12,0.12,0.12
2,10000,CR-D,Actual,0,0,0,0,0,0
3,50,PAR,Preferred,3.19,3.19,3.19,3.19,3.19,3.19
3,50,DR,Preferred,0,0,0,0,0,0
3,50,CR,Preferred,0,0,0,0,0,0
3,50,PAR,Optimised,1.65,1.65,1.65,1.65,1.65,1.65
3,50,DR,Optimised,0.48,0.48,0.48,0.48,0.48,0.48
3,50,CR,Optimised,0.07,0.07,0.07,0.07,0.07,0.07
3,50,PAR,Actual,1.89,2.06,2.44,2.39,2.53,2.74
3,50,PAR-D,Actual,0.24,0.41,0.79,0.74,0.88,1.09
3,50,DR,Actual,0.24,0.36,0.41,0.14,0.21,0.25
3,50,DR-D,Actual,0.07,0.12,0.24,0.23,0.27,0.34
3,50,CR,Actual,0.07,0.07,0.07,0.06,0.07,0.07
3,50,CR-D,Actual,0,0,0,0,0,0.01
3,100,PAR,Preferred,1.95,1.95,1.95,1.95,1.95,1.95
3,100,DR,Preferred,0,0,0,0,0,0
3,100,CR,Preferred,0,0,0,0,0,0
3,100,PAR,Optimised,1.02,1.02,1.02,1.01,1.01,1.01
3,100,DR,Optimised,0.48,0.48,0.48,0.48,0.48,0.48
3,100,CR,Optimised,0.07,0.07,0.07,0.07,0.07,0.07
3,100,PAR,Actual,1.47,1.64,1.79,1.6,1.65,2.35
3,100,PAR-D,Actual,0.45,0.62,0.77,0.59,0.64,1.34
3,100,DR,Actual,0.08,0.16,0.24,-0.21,0.15,0.18
3,100,DR-D,Actual,0.24,0.32,0.4,0.3,0.33,0.69
3,100,CR,Actual,0.05,0.06,0.07,-1.25,0.06,0.06
3,100,CR-D,Actual,0,0.01,0.02,0.01,0.01,1.32
3,500,PAR,Preferred,1.38,1.38,1.38,1.38,1.38,1.38
3,500,DR,Preferred,0,0,0,0,0,0
3,500,CR,Preferred,0,0,0,0,0,0
3,500,PAR,Optimised,1.09,1.09,1.09,1.07,1.07,1.07
3,500,DR,Optimised,0.21,0.21,0.21,0.23,0.23,0.23
3,500,CR,Optimised,0.07,0.07,0.07,0.07,0.07,0.07
3,500,PAR,Actual,1.15,1.2,1.39,1.22,1.28,1.32
3,500,PAR-D,Actual,0.06,0.11,0.3,0.15,0.21,0.25
3,500,DR,Actual,0,0.13,0.17,0.05,0.08,0.12
3,500,DR-D,Actual,0.04,0.08,0.21,0.11,0.15,0.18
3,500,CR,Actual,0,0.06,0.06,0.04,0.05,0.05
3,500,CR-D,Actual,0.01,0.01,0.07,0.02,0.02,0.03
3,1000,PAR,Preferred,1.32,1.32,1.32,1.32,1.32,1.32
3,1000,DR,Preferred,0,0,0,0,0,0
3,1000,CR,Preferred,0,0,0,0,0,0
3,1000,PAR,Optimised,1.05,1.05,1.05,1.06,1.06,1.06
3,1000,DR,Optimised,0.2,0.2,0.2,0.2,0.2,0.2
3,1000,CR,Optimised,0.09,0.09,0.09,0.09,0.09,0.09
3,1000,PAR,Actual,1.1,1.17,1.19,1.11,1.19,1.2
3,1000,PAR-D,Actual,0.05,0.12,0.14,0.05,0.13,0.14
3,1000,DR,Actual,0.1,0.11,0.16,0.09,0.1,0.16
3,1000,DR-D,Actual,0.04,0.09,0.1,0.04,0.1,0.11
3,1000,CR,Actual,0.07,0.07,0.08,0.07,0.07,0.08
3,1000,CR-D,Actual,0.01,0.02,0.02,0.01,0.02,0.02
3,2000,PAR,Preferred,1.29,1.29,1.29,1.29,1.29,1.29
3,2000,DR,Preferred,0,0,0,0,0,0
3,2000,CR,Preferred,0,0,0,0,0,0
3,2000,PAR,Optimised,1.08,1.08,1.08,1.09,1.09,1.09
3,2000,DR,Optimised,0.16,0.16,0.16,0.15,0.15,0.15
3,2000,CR,Optimised,0.08,0.08,0.08,0.08,0.08,0.08
3,2000,PAR,Actual,1.08,1.12,1.18,1.08,1.12,1.15
3,2000,PAR-D,Actual,0,0.04,0.1,0,0.03,0.06
3,2000,DR,Actual,0.08,0.13,0.16,0.1,0.13,0.16
3,2000,DR-D,Actual,0,0.03,0.08,0,0.02,0.05
3,2000,CR,Actual,0.07,0.08,0.08,0.07,0.08,0.08
3,2000,CR-D,Actual,0,0,0.01,0,0,0.01
3,4000,PAR,Preferred,1.26,1.26,1.26,1.26,1.26,1.26
3,4000,DR,Preferred,0,0,0,0,0,0
3,4000,CR,Preferred,0,0,0,0,0,0
3,4000,PAR,Optimised,1.1,1.1,1.1,1.1,1.1,1.1
3,4000,DR,Optimised,0.13,0.13,0.13,0.13,0.13,0.13
3,4000,CR,Optimised,0.07,0.07,0.07,0.07,0.07,0.07
3,4000,PAR,Actual,1.09,1.12,1.13,1.09,1.1,1.15
3,4000,PAR-D,Actual,0.01,0.02,0.03,0,0.01,0.05
3,4000,DR,Actual,0.11,0.11,0.13,0.09,0.13,0.14
3,4000,DR-D,Actual,0,0.02,0.02,0,0.01,0.04
3,4000,CR,Actual,0.07,0.07,0.07,0.06,0.07,0.07
3,4000,CR-D,Actual,0,0,0,0,0,0.01
3,6000,PAR,Preferred,1.14,1.14,1.14,1.14,1.14,1.14
3,6000,DR,Preferred,0,0,0,0,0,0
3,6000,CR,Preferred,0,0,0,0,0,0
3,6000,PAR,Optimised,1.02,1.02,1.02,1.03,1.03,1.03
3,6000,DR,Optimised,0.1,0.1,0.1,0.09,0.09,0.09
3,6000,CR,Optimised,0.14,0.14,0.14,0.14,0.14,0.14
3,6000,PAR,Actual,1.03,1.05,1.06,1.05,1.06,1.09
3,6000,PAR-D,Actual,0.01,0.03,0.04,0.02,0.03,0.06
3,6000,DR,Actual,0.07,0.07,0.1,0.04,0.07,0.08
3,6000,DR-D,Actual,0,0.03,0.03,0.01,0.02,0.05
3,6000,CR,Actual,0.14,0.14,0.14,0.13,0.13,0.14
